Program_Degree_Name,Program_Format,Dual_Degree,Dual_Name,Dual_Id,Program_Id,No. of semesters,Include_Summer,StudentGroups,Code,Notes on Semesters,Original sequence
"Accounting (BMAC), M.S.",Full Time,No,,,1000040101003,3,No,"MS in Accounting - Seeking Internships,MS in Accounting - New students",BMAC,"Some students complete in 2 semesters, but we initially assume 3.",5
"Accounting (BMAC), M.S.",,No,,,1000040101003,3,No,"MS in Accounting - Seeking Internships,MS in Accounting - New students",BMAC,"Some students complete in 2 semesters, but we initially assume 3.",64
"Accounting (BMAC), M.S. (Combined with Bachelor's)",Full Time,No,,,1000040101003,2,No,"MS in Accounting - Seeking Internships,MS in Accounting - New students",BMAC,"Some students complete in 2 semesters, but we initially assume 3.",84
"Accounting (BMAC), M.S. (Combined with Bachelor's)_(other)",Full Time,No,,,1000040101003,2,No,"MS in Accounting - Seeking Internships,MS in Accounting - New students",BMAC,,88
"Business Administration (Executive) - College Park (EMBA), M.B.A.",Executive,No,,,1000040101013,5,Yes,Executive MBA - Current students,EMBA,"Not semester-based; runs continuously for 19 months, Jan-Jul, w/ August graduation month.",2
"Business Administration (Online) (OMBA), M.B.A.",Online,No,,,1000040101011,6,Yes,Online MBA - Current students,OMBA,"Default to 4 semesters.  In practice, it can be more.",30
"Business Administration MBA - Full Time (BMBA), M.B.A.",Full Time,No,,,1000040101001,4,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMBA,,15
"Business Administration MBA - Part Time Flex (BMBA), M.B.A.",Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,"Default to 6 semesters.  In practice, it can be more or less, and varies widely.",38
"Business Administration MBA - Part Time Flex (BMBA), M.B.A.",Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,,79
"Business Administration MBA Full Time (BMBA), M.B.A.",Full Time,No,,,1000040101001,4,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMBA,,16
"Business Administration MBA Full Time or Part Time Flex (BMBA), M.B.A.",Full Time,No,,,1000040101001,4,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMBA,,14
"Business Administration MBA Full Time or Part Time Flex (BMBA), M.B.A.",Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,"Default to 6 semesters.  In practice, it can be more or less, and varies widely.",37
"Business Administration MBA Part Time Flex (BMBA), M.B.A.",Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,"Default to 6 semesters.  In practice, it can be more or less, and varies widely.",39
"Business Administration/Accounting (BAAC), M.B.A./M.S.",Full Time,Yes,MS in Accounting,140048010110017,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Accounting - Seeking Internships,MS in Accounting - New students",BAAC,,21
"Business Administration/Business & Management  (BMJT), M.B.A./M.S.",Part Time Flex,Yes,MS in Business & Management,140048010110018,1000040101012,8,Yes,"Flex MBA - Current students,MS in Business & Management - New students,MS in Business & Management - Seeking Internships",BMJT,,43
"Business Administration/Business & Management (BMJT), M.B.A./M.S.",Full Time,Yes,MS in Business & Management,140048010110018,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Business & Management - New students,MS in Business & Management - Seeking Internships",BMJT,,26
"Business Administration/Business Analytics (BABA), M.B.A./M.S.",Full Time,Yes,MS in Business Analytics,140048010110019,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BABA,,20
"Business Administration/Finance (BAFN), M.B.A./M.S.",Full Time,Yes,Master of Finance,140048010110020,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,Master of Finance - New students,Master of Finance - Seeking Internships",BAFN,,28
"Business Administration/Finance (BAFN), M.B.A./M.S.",Part Time Flex,Yes,Master of Finance,140048010110020,1000040101012,8,Yes,"Flex MBA - Current students,Master of Finance - New students,Master of Finance - Seeking Internships",BAFN,,41
"Business Administration/Information Systems (BAIS), M.B.A./M.S.",Full Time,Yes,MS in Information Systems,140048010110021,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Information Systems - Seeking Internships,MS in Information Systems - New students",BAIS,,22
"Business Administration/Law (LMBA), M.B.A.",Full Time,Yes,JD,10000401010001,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",LMBA,,19
"Business Administration/Marketing Analytics (BAMA), M.B.A./M.S.",Full Time,Yes,MS in Marketing Analytics,140048010110022,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Marketing Analytics - Seeking Internships,MS in Marketing Analytics - New students",BAMA,,91
"Business Administration/MSW  (BMSW), M.B.A./M.S.W",Full Time,Yes,MSW,10000401010004,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMSW,,25
