Id,Name,Months
1,0 yr - 0 month,0
102,0 yr - 1 month,1
103,0 yr - 2 months,2
104,0 yr - 3 months,3
105,0 yr - 4 months,4
106,0 yr - 5 months,5
52,0 yr - 6 months,6
107,0 yr - 7 months,7
108,0 yr - 8 months,8
109,0 yr - 9 months,9
110,0 yr - 10 months,10
111,0 yr - 11 months,11
2,1 yr - 0 month,12
112,1 yr - 1 month,13
113,1 yr - 2 months,14
114,1 yr - 3 months,15
115,1 yr - 4 months,16
116,1 yr - 5 months,17
53,1 yr - 6 months,18
117,1 yr - 7 months,19
118,1 yr - 8 months,20
119,1 yr - 9 months,21
120,1 yr - 10 months,22
121,1 yr - 11 months,23
3,2 yr - 0 month,24
122,2 yr - 1 month,25
123,2 yr - 2 months,26
124,2 yr - 3 months,27
125,2 yr - 4 months,28
126,2 yr - 5 months,29
54,2 yr - 6 months,30
127,2 yr - 7 months,31
128,2 yr - 8 months,32
129,2 yr - 9 months,33
130,2 yr - 10 months,34
131,2 yr - 11 months,35
4,3 yr - 0 month,36
132,3 yr - 1 month,37
133,3 yr - 2 months,38
134,3 yr - 3 months,39
135,3 yr - 4 months,40
136,3 yr - 5 months,41
55,3 yr - 6 months,42
137,3 yr - 7 months,43
138,3 yr - 8 months,44
139,3 yr - 9 months,45
140,3 yr - 10 months,46
141,3 yr - 11 months,47
5,4 yr - 0 month,48
142,4 yr - 1 month,49
143,4 yr - 2 months,50
144,4 yr - 3 months,51
145,4 yr - 4 months,52
146,4 yr - 5 months,53
56,4 yr - 6 months,54
147,4 yr - 7 months,55
148,4 yr - 8 months,56
149,4 yr - 9 months,57
150,4 yr - 10 months,58
151,4 yr - 11 months,59
6,5 yr - 0 month,60
152,5 yr - 1 month,61
153,5 yr - 2 months,62
154,5 yr - 3 months,63
155,5 yr - 4 months,64
156,5 yr - 5 months,65
57,5 yr - 6 months,66
157,5 yr - 7 months,67
158,5 yr - 8 months,68
159,5 yr - 9 months,69
160,5 yr - 10 months,70
161,5 yr - 11 months,71
7,6 yr - 0 month,72
162,6 yr - 1 month,73
163,6 yr - 2 months,74
164,6 yr - 3 months,75
165,6 yr - 4 months,76
166,6 yr - 5 months,77
58,6 yr - 6 months,78
167,6 yr - 7 months,79
168,6 yr - 8 months,80
169,6 yr - 9 months,81
170,6 yr - 10 months,82
171,6 yr - 11 months,83
8,7 yr - 0 month,84
172,7 yr - 1 month,85
173,7 yr - 2 months,86
174,7 yr - 3 months,87
175,7 yr - 4 months,88
176,7 yr - 5 months,89
59,7 yr - 6 months,90
177,7 yr - 7 months,91
178,7 yr - 8 months,92
179,7 yr - 9 months,93
180,7 yr - 10 months,94
181,7 yr - 11 months,95
9,8 yr - 0 month,96
182,8 yr - 1 month,97
183,8 yr - 2 months,98
184,8 yr - 3 months,99
185,8 yr - 4 months,100
186,8 yr - 5 months,101
60,8 yr - 6 months,102
187,8 yr - 7 months,103
188,8 yr - 8 months,104
189,8 yr - 9 months,105
190,8 yr - 10 months,106
191,8 yr - 11 months,107
10,9 yr - 0 month,108
192,9 yr - 1 month,109
193,9 yr - 2 months,110
194,9 yr - 3 months,111
195,9 yr - 4 months,112
196,9 yr - 5 months,113
61,9 yr - 6 months,114
197,9 yr - 7 months,115
198,9 yr - 8 months,116
199,9 yr - 9 months,117
200,9 yr - 10 months,118
201,9 yr - 11 months,119
11,10 yr - 0 month,120
62,10 yr - 6 months,126
12,11 yr - 0 month,132
63,11 yr - 6 months,138
13,12 yr - 0 month,144
64,12 yr - 6 months,150
14,13 yr - 0 month,156
65,13 yr - 6 months,162
15,14 yr - 0 month,168
66,14 yr - 6 months,174
16,15 yr - 0 month,180
67,15 yr - 6 months,186
17,16 yr - 0 month,192
68,16 yr - 6 months,198
18,17 yr - 0 month,204
69,17 yr - 6 months,210
19,18 yr - 0 month,216
70,18 yr - 6 months,222
20,19 yr - 0 month,228
71,19 yr - 6 months,234
21,20 yr - 0 month,240
72,20 yr - 6 months,246
22,21 yr - 0 month,252
73,21 yr - 6 months,258
23,22 yr - 0 month,264
74,22 yr - 6 months,270
24,23 yr - 0 month,276
75,23 yr - 6 months,282
25,24 yr - 0 month,288
76,24 yr - 6 months,294
26,25 yr - 0 month,300
77,25 yr - 6 months,306
27,26 yr - 0 month,312
78,26 yr - 6 months,318
28,27 yr - 0 month,324
79,27 yr - 6 months,330
29,28 yr - 0 month,336
80,28 yr - 6 months,342
30,29 yr - 0 month,348
81,29 yr - 6 months,354
31,30 yr - 0 month,360
82,30 yr - 6 months,366
32,31 yr - 0 month,372
83,31 yr - 6 months,378
33,32 yr - 0 month,384
84,32 yr - 6 months,390
34,33 yr - 0 month,396
85,33 yr - 6 months,402
35,34 yr - 0 month,408
86,34 yr - 6 months,414
36,35 yr - 0 month,420
87,35 yr - 6 months,426
37,36 yr - 0 month,432
88,36 yr - 6 months,438
38,37 yr - 0 month,444
89,37 yr - 6 months,450
39,38 yr - 0 month,456
90,38 yr - 6 months,462
40,39 yr - 0 month,468
91,39 yr - 6 months,474
41,40 yr - 0 month,480
92,40 yr - 6 months,486
42,41 yr - 0 month,492
93,41 yr - 6 months,498
43,42 yr - 0 month,504
94,42 yr - 6 months,510
44,43 yr - 0 month,516
95,43 yr - 6 months,522
45,44 yr - 0 month,528
96,44 yr - 6 months,534
46,45 yr - 0 month,540
97,45 yr - 6 months,546
47,46 yr - 0 month,552
98,46 yr - 6 months,558
48,47 yr - 0 month,564
99,47 yr - 6 months,570
49,48 yr - 0 month,576
100,48 yr - 6 months,582
50,49 yr - 0 month,588
101,49 yr - 6 months,594
51,50 yr - 0 month,600
